countryName,alpha3,countryCode,region,subRegion,regionCode,subRegionCode
Dominican Republic,DOM,214,Americas,Latin America and the Caribbean,19,419
Ecuador,ECU,218,Americas,Latin America and the Caribbean,19,419
Egypt,EGY,818,Africa,Northern Africa,2,15
El Salvador,SLV,222,Americas,Latin America and the Caribbean,19,419
Equatorial Guinea,GNQ,226,Africa,Sub-Saharan Africa,2,202
Eritrea,ERI,232,Africa,Sub-Saharan Africa,2,202
Estonia,EST,233,Europe,Northern Europe,150,154
Eswatini,SWZ,748,Africa,Sub-Saharan Africa,2,202
Ethiopia,ETH,231,Africa,Sub-Saharan Africa,2,202
Falkland Islands (Malvinas),FLK,238,Americas,Latin America and the Caribbean,19,419
Faroe Islands,FRO,234,Europe,Northern Europe,150,154
Fiji,FJI,242,Oceania,Melanesia,9,54
Finland,FIN,246,Europe,Northern Europe,150,154
France,FRA,250,Europe,Western Europe,150,155
French Guiana,GUF,254,Americas,Latin America and the Caribbean,19,419
French Polynesia,PYF,258,Oceania,Polynesia,9,61
French Southern Territories,ATF,260,Africa,Sub-Saharan Africa,2,202
Gabon,GAB,266,Africa,Sub-Saharan Africa,2,202
Gambia,GMB,270,Africa,Sub-Saharan Africa,2,202
Georgia,GEO,268,Asia,Western Asia,142,145
Germany,DEU,276,Europe,Western Europe,150,155
Ghana,GHA,288,Africa,Sub-Saharan Africa,2,202
Gibraltar,GIB,292,Europe,Southern Europe,150,39
Greece,GRC,300,Europe,Southern Europe,150,39
Greenland,GRL,304,Americas,Northern America,19,21
Grenada,GRD,308,Americas,Latin America and the Caribbean,19,419
Guadeloupe,GLP,312,Americas,Latin America and the Caribbean,19,419
Guam,GUM,316,Oceania,Micronesia,9,57
Guatemala,GTM,320,Americas,Latin America and the Caribbean,19,419
Guernsey,GGY,831,Europe,Northern Europe,150,154
Guinea,GIN,324,Africa,Sub-Saharan Africa,2,202
Guinea Bissau,GNB,624,Africa,Sub-Saharan Africa,2,202
Guyana,GUY,328,Americas,Latin America and the Caribbean,19,419
Haiti,HTI,332,Americas,Latin America and the Caribbean,19,419
Heard Island and McDonald Islands,HMD,334,Oceania,Australia and New Zealand,9,53
Holy See,VAT,336,Europe,Southern Europe,150,39
Honduras,HND,340,Americas,Latin America and the Caribbean,19,419
Hong Kong,HKG,344,Asia,Eastern Asia,142,30
Hungary,HUN,348,Europe,Eastern Europe,150,151
Iceland,ISL,352,Europe,Northern Europe,150,154
India,IND,356,Asia,Southern Asia,142,34
Indonesia,IDN,360,Asia,South-eastern Asia,142,35
Iran,IRN,364,Asia,Southern Asia,142,34
Iraq,IRQ,368,Asia,Western Asia,142,145
Ireland,IRL,372,Europe,Northern Europe,150,154
Isle of Man,IMN,833,Europe,Northern Europe,150,154
Israel,ISR,376,Asia,Western Asia,142,145
Italy,ITA,380,Europe,Southern Europe,150,39
Jamaica,JAM,388,Americas,Latin America and the Caribbean,19,419
Japan,JPN,392,Asia,Eastern Asia,142,30
Jersey,JEY,832,Europe,Northern Europe,150,154
Jordan,JOR,400,Asia,Western Asia,142,145
Kazakhstan,KAZ,398,Asia,Central Asia,142,143
Kenya,KEN,404,Africa,Sub-Saharan Africa,2,202
Kiribati,KIR,296,Oceania,Micronesia,9,57
South Korea,PRK,408,Asia,Eastern Asia,142,30
"Korea, Republic of",KOR,410,Asia,Eastern Asia,142,30
Kuwait,KWT,414,Asia,Western Asia,142,145
Kyrgyzstan,KGZ,417,Asia,Central Asia,142,143
Laos,LAO,418,Asia,South-eastern Asia,142,35
Latvia,LVA,428,Europe,Northern Europe,150,154
Lebanon,LBN,422,Asia,Western Asia,142,145
Lesotho,LSO,426,Africa,Sub-Saharan Africa,2,202
Liberia,LBR,430,Africa,Sub-Saharan Africa,2,202
Libya,LBY,434,Africa,Northern Africa,2,15
Liechtenstein,LIE,438,Europe,Western Europe,150,155
Lithuania,LTU,440,Europe,Northern Europe,150,154
Luxembourg,LUX,442,Europe,Western Europe,150,155
Macao,MAC,446,Asia,Eastern Asia,142,30
Madagascar,MDG,450,Africa,Sub-Saharan Africa,2,202
Malawi,MWI,454,Africa,Sub-Saharan Africa,2,202
Malaysia,MYS,458,Asia,South-eastern Asia,142,35
Maldives,MDV,462,Asia,Southern Asia,142,34
Mali,MLI,466,Africa,Sub-Saharan Africa,2,202
Malta,MLT,470,Europe,Southern Europe,150,39
Marshall Islands,MHL,584,Oceania,Micronesia,9,57
Martinique,MTQ,474,Americas,Latin America and the Caribbean,19,419
Mauritania,MRT,478,Africa,Sub-Saharan Africa,2,202
Mauritius,MUS,480,Africa,Sub-Saharan Africa,2,202
Mayotte,MYT,175,Africa,Sub-Saharan Africa,2,202
Mexico,MEX,484,Americas,Latin America and the Caribbean,19,419
Micronesia (Federated States of),FSM,583,Oceania,Micronesia,9,57
Moldova,MDA,498,Europe,Eastern Europe,150,151
Monaco,MCO,492,Europe,Western Europe,150,155
Mongolia,MNG,496,Asia,Eastern Asia,142,30
Montenegro,MNE,499,Europe,Southern Europe,150,39
Montserrat,MSR,500,Americas,Latin America and the Caribbean,19,419
Morocco,MAR,504,Africa,Northern Africa,2,15
Mozambique,MOZ,508,Africa,Sub-Saharan Africa,2,202
Myanmar,MMR,104,Asia,South-eastern Asia,142,35
Namibia,NAM,516,Africa,Sub-Saharan Africa,2,202
Nauru,NRU,520,Oceania,Micronesia,9,57
Nepal,NPL,524,Asia,Southern Asia,142,34
Netherlands,NLD,528,Europe,Western Europe,150,155
New Caledonia,NCL,540,Oceania,Melanesia,9,54
New Zealand,NZL,554,Oceania,Australia and New Zealand,9,53
Nicaragua,NIC,558,Americas,Latin America and the Caribbean,19,419
Niger,NER,562,Africa,Sub-Saharan Africa,2,202
Nigeria,NGA,566,Africa,Sub-Saharan Africa,2,202
Niue,NIU,570,Oceania,Polynesia,9,61
Norfolk Island,NFK,574,Oceania,Australia and New Zealand,9,53
Macedonia,MKD,807,Europe,Southern Europe,150,39
Northern Mariana Islands,MNP,580,Oceania,Micronesia,9,57
Norway,NOR,578,Europe,Northern Europe,150,154
Oman,OMN,512,Asia,Western Asia,142,145
Pakistan,PAK,586,Asia,Southern Asia,142,34
Palau,PLW,585,Oceania,Micronesia,9,57
"Palestine, State of",PSE,275,Asia,Western Asia,142,145
Panama,PAN,591,Americas,Latin America and the Caribbean,19,419
Papua New Guinea,PNG,598,Oceania,Melanesia,9,54
Paraguay,PRY,600,Americas,Latin America and the Caribbean,19,419
Peru,PER,604,Americas,Latin America and the Caribbean,19,419
Philippines,PHL,608,Asia,South-eastern Asia,142,35
Pitcairn,PCN,612,Oceania,Polynesia,9,61
Poland,POL,616,Europe,Eastern Europe,150,151
Portugal,PRT,620,Europe,Southern Europe,150,39
Puerto Rico,PRI,630,Americas,Latin America and the Caribbean,19,419
Qatar,QAT,634,Asia,Western Asia,142,145
Réunion,REU,638,Africa,Sub-Saharan Africa,2,202
Romania,ROU,642,Europe,Eastern Europe,150,151
Russia,RUS,643,Europe,Eastern Europe,150,151
Rwanda,RWA,646,Africa,Sub-Saharan Africa,2,202
Saint Barthélemy,BLM,652,Americas,Latin America and the Caribbean,19,419
"Saint Helena, Ascension and Tristan da Cunha",SHN,654,Africa,Sub-Saharan Africa,2,202
Saint Kitts and Nevis,KNA,659,Americas,Latin America and the Caribbean,19,419
Saint Lucia,LCA,662,Americas,Latin America and the Caribbean,19,419
Saint Martin (French part),MAF,663,Americas,Latin America and the Caribbean,19,419
Saint Pierre and Miquelon,SPM,666,Americas,Northern America,19,21
Saint Vincent and the Grenadines,VCT,670,Americas,Latin America and the Caribbean,19,419
Samoa,WSM,882,Oceania,Polynesia,9,61
San Marino,SMR,674,Europe,Southern Europe,150,39
Sao Tome and Principe,STP,678,Africa,Sub-Saharan Africa,2,202
Saudi Arabia,SAU,682,Asia,Western Asia,142,145
Senegal,SEN,686,Africa,Sub-Saharan Africa,2,202
Serbia,SRB,688,Europe,Southern Europe,150,39
Seychelles,SYC,690,Africa,Sub-Saharan Africa,2,202
Sierra Leone,SLE,694,Africa,Sub-Saharan Africa,2,202
Singapore,SGP,702,Asia,South-eastern Asia,142,35
Sint Maarten (Dutch part),SXM,534,Americas,Latin America and the Caribbean,19,419
Slovakia,SVK,703,Europe,Eastern Europe,150,151
Slovenia,SVN,705,Europe,Southern Europe,150,39
Solomon Islands,SLB,90,Oceania,Melanesia,9,54
Somalia,SOM,706,Africa,Sub-Saharan Africa,2,202
South Africa,ZAF,710,Africa,Sub-Saharan Africa,2,202
South Georgia and the South Sandwich Islands,SGS,239,Americas,Latin America and the Caribbean,19,419
South Sudan,SSD,728,Africa,Sub-Saharan Africa,2,202
Spain,ESP,724,Europe,Southern Europe,150,39
Sri Lanka,LKA,144,Asia,Southern Asia,142,34
Sudan,SDN,729,Africa,Northern Africa,2,15
Suriname,SUR,740,Americas,Latin America and the Caribbean,19,419
Svalbard and Jan Mayen,SJM,744,Europe,Northern Europe,150,154
Sweden,SWE,752,Europe,Northern Europe,150,154
Switzerland,CHE,756,Europe,Western Europe,150,155
Syria,SYR,760,Asia,Western Asia,142,145
Taiwan,TWN,158,Asia,Eastern Asia,142,30
Tajikistan,TJK,762,Asia,Central Asia,142,143
Tanzania,TZA,834,Africa,Sub-Saharan Africa,2,202
Thailand,THA,764,Asia,South-eastern Asia,142,35
Timor-Leste,TLS,626,Asia,South-eastern Asia,142,35
Togo,TGO,768,Africa,Sub-Saharan Africa,2,202
Tokelau,TKL,772,Oceania,Polynesia,9,61
Tonga,TON,776,Oceania,Polynesia,9,61
Trinidad and Tobago,TTO,780,Americas,Latin America and the Caribbean,19,419
Tunisia,TUN,788,Africa,Northern Africa,2,15
Turkey,TUR,792,Asia,Western Asia,142,145
Turkmenistan,TKM,795,Asia,Central Asia,142,143
Turks and Caicos Islands,TCA,796,Americas,Latin America and the Caribbean,19,419
Tuvalu,TUV,798,Oceania,Polynesia,9,61
Uganda,UGA,800,Africa,Sub-Saharan Africa,2,202
Ukraine,UKR,804,Europe,Eastern Europe,150,151
United Arab Emirates,ARE,784,Asia,Western Asia,142,145
United Kingdom,GBR,826,Europe,Northern Europe,150,154
United States,USA,840,Americas,Northern America,19,21
United States Minor Outlying Islands,UMI,581,Oceania,Micronesia,9,57
Uruguay,URY,858,Americas,Latin America and the Caribbean,19,419
Uzbekistan,UZB,860,Asia,Central Asia,142,143
Vanuatu,VUT,548,Oceania,Melanesia,9,54
Venezuela,VEN,862,Americas,Latin America and the Caribbean,19,419
Vietnam,VNM,704,Asia,South-eastern Asia,142,35
Virgin Islands (British),VGB,92,Americas,Latin America and the Caribbean,19,419
Virgin Islands (U.S.),VIR,850,Americas,Latin America and the Caribbean,19,419
Wallis and Futuna,WLF,876,Oceania,Polynesia,9,61
Western Sahara,ESH,732,Africa,Northern Africa,2,15
Yemen,YEM,887,Asia,Western Asia,142,145
Zambia,ZMB,894,Africa,Sub-Saharan Africa,2,202
Zimbabwe,ZWE,716,Africa,Sub-Saharan Africa,2,202
